model,source_id,correlation,baseline_correlation
Claude Sonnet 4.6,10.1057_978-1-137-50247-6_2,0.6288284659385681,0.639323353767395
Claude Sonnet 4.6,10.1073_pnas.1215443110,0.6288673281669617,0.639323353767395
Claude Sonnet 4.6,10.1098_rstb.2010.0135,0.6288750767707825,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chaos.2024.114754,0.6289363503456116,0.639323353767395
Claude Sonnet 4.6,10.1016_j.physa.2022.128165,0.6290085911750793,0.639323353767395
Claude Sonnet 4.6,10.1016_j.amc.2024.128534,0.6290653944015503,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jtbi.2014.04.019,0.6290911436080933,0.639323353767395
Claude Sonnet 4.6,10.1371_journal.pone.0200965,0.6292244791984558,0.639323353767395
Claude Sonnet 4.6,10.1098_rspb.2018.1508,0.6292411088943481,0.639323353767395
Claude Sonnet 4.6,10.1109_access.2021.3128647,0.6293360590934753,0.639323353767395
Claude Sonnet 4.6,10.1177_01902725221132517,0.6293892860412598,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chaos.2023.113519,0.6293946504592896,0.639323353767395
Claude Sonnet 4.6,10.1136_medethics-2016-103593,0.629396378993988,0.639323353767395
Claude Sonnet 4.6,10.1038_srep01521,0.6294169425964355,0.639323353767395
Claude Sonnet 4.6,10.3390_math10152823,0.629575252532959,0.639323353767395
Claude Sonnet 4.6,10.1111_ecin.12713,0.6297135353088379,0.639323353767395
Claude Sonnet 4.6,10.1038_s41598-021-89563-z,0.6297232508659363,0.639323353767395
Claude Sonnet 4.6,10.1007_s11432-023-4170-3,0.6297979950904846,0.639323353767395
Claude Sonnet 4.6,10.1098_rsif.2014.0735,0.6297993659973145,0.639323353767395
Claude Sonnet 4.6,10.1016_j.physa.2007.06.008,0.6298032999038696,0.639323353767395
Claude Sonnet 4.6,10.1007_978-3-319-29354-7_9,0.6298379302024841,0.639323353767395
Claude Sonnet 4.6,10.3989_ris.2011.09.03,0.6298509240150452,0.639323353767395
Claude Sonnet 4.6,10.1038_s41598-018-34116-0,0.6298812031745911,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jpubeco.2018.06.010,0.6299628615379333,0.639323353767395
Claude Sonnet 4.6,10.1007_s00191-014-0375-3,0.6300310492515564,0.639323353767395
Claude Sonnet 4.6,10.1073_pnas.0808450106,0.6301202178001404,0.639323353767395
Claude Sonnet 4.6,10.1016_j.physa.2015.01.029,0.6301370859146118,0.639323353767395
Claude Sonnet 4.6,10.1177_1948550619849431,0.6301412582397461,0.639323353767395
Claude Sonnet 4.6,10.1103_PhysRevE.81.057104,0.6301430463790894,0.639323353767395
Claude Sonnet 4.6,10.1016_s0167-2681(02)00032-x,0.6302423477172852,0.639323353767395
Claude Sonnet 4.6,10.1177_00483931231181168,0.6302434802055359,0.639323353767395
Claude Sonnet 4.6,10.1016_j.physa.2010.04.018,0.6302942037582397,0.639323353767395
Claude Sonnet 4.6,10.1103_PhysRevE.90.032802,0.630294680595398,0.639323353767395
Claude Sonnet 4.6,10.1016_j.socec.2020.101554,0.6303303837776184,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chaos.2024.114699,0.6303449273109436,0.639323353767395
Claude Sonnet 4.6,10.1515_bejte-2019-0057,0.6303835511207581,0.639323353767395
Claude Sonnet 4.6,10.1007_s12110-024-09483-5,0.6304173469543457,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2008.09.007,0.6304874420166016,0.639323353767395
Claude Sonnet 4.6,10.1016_j.geb.2020.07.004,0.6306626796722412,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chieco.2025.102459,0.6307214498519897,0.639323353767395
Claude Sonnet 4.6,10.1111_j.0021-9029.2006.00042.x,0.6307834386825562,0.639323353767395
