wave,input_group,mode,feature,median_value,mean_value,n_variants,baseline_median_value,baseline_mean_value,median_delta_vs_baseline,mean_delta_vs_baseline
learning,both,joint_reasoning,CONFIG_rewardTech,0.07197861468028394,0.052717786679003426,8,-0.004501445181598373,-0.004501445181598373,0.0764800598618823,0.0572192318606018
learning,both,joint_reasoning,control_pct,-0.07868599834156377,-0.1332578985888143,8,-0.6857572796444442,-0.6857572796444442,0.6070712813028805,0.5524993810556299
learning,both,reasoning,CONFIG_MPCR,0.04819406571256375,0.08156077483808234,8,0.044573076626017186,0.044573076626017186,0.0036209890865465666,0.036987698212065157
learning,both,reasoning,CONFIG_numRounds,-0.10504841538709157,-0.09245129080854979,8,-0.07140107842908514,-0.07140107842908514,-0.03364733695800644,-0.021050212379464653
learning,both,reasoning,CONFIG_playerCount,0.047026339929212096,0.042665203695550206,8,0.15436392168952717,0.15436392168952717,-0.10733758176031508,-0.11169871799397696
learning,both,reasoning,CONFIG_punishmentCost,0.03062844020491125,0.03214093020858083,8,-0.038622778445417345,-0.038622778445417345,0.0692512186503286,0.07076370865399817
learning,both,reasoning,CONFIG_punishmentTech,0.00877101953464926,-0.004182801653798802,8,-0.11752784920362758,-0.11752784920362758,0.12629886873827684,0.11334504754982877
learning,both,reasoning,CONFIG_rewardTech,-0.05397200777806916,-0.05934961190650576,8,-0.05544321388954845,-0.05544321388954845,0.0014712061114792868,-0.003906398016957316
learning,both,reasoning,control_pct,0.19184729000015777,0.17551274448911144,8,-0.7193932182472812,-0.7193932182472812,0.911240508247439,0.8949059627363927
learning,both,single,CONFIG_MPCR,0.0931981621515432,0.1030073932898844,8,-0.06728312067836208,-0.06728312067836208,0.16048128282990526,0.17029051396824646
learning,both,single,CONFIG_numRounds,-0.15995236196380203,-0.15708637364010875,8,-0.16976196688580789,-0.16976196688580789,0.00980960492200586,0.01267559324569914
learning,both,single,CONFIG_playerCount,0.2391751696205785,0.22097440291640286,8,0.2661259601443949,0.2661259601443949,-0.02695079052381638,-0.04515155722799202
learning,both,single,CONFIG_punishmentCost,0.02022359289130674,0.016396736538422222,8,-0.015426253293363855,-0.015426253293363855,0.0356498461846706,0.03182298983178608
learning,both,single,CONFIG_punishmentTech,-0.11854875192816197,-0.10196183553968101,8,-0.15506079695706834,-0.15506079695706834,0.03651204502890637,0.05309896141738733
learning,both,single,CONFIG_rewardTech,-0.02745455680275487,-0.021687816686940902,8,0.07758042015882212,0.07758042015882212,-0.10503497696157699,-0.09926823684576302
learning,both,single,control_pct,-0.7538487001824106,-0.7615342081875984,8,-0.6450418212567044,-0.6450418212567044,-0.10880687892570617,-0.11649238693089403
learning,data_only,joint,CONFIG_MPCR,0.08673756145470818,0.10063852989306395,3,0.023663515840341827,0.023663515840341827,0.06307404561436636,0.07697501405272211
learning,data_only,joint,CONFIG_numRounds,-0.041480840037711984,-0.07279671883081178,3,-0.08635833443479286,-0.08635833443479286,0.04487749439708088,0.013561615603981086
learning,data_only,joint,CONFIG_playerCount,0.2561989767253882,0.2400706727575929,3,0.26069340592896767,0.26069340592896767,-0.004494429203579453,-0.02062273317137478
learning,data_only,joint,CONFIG_punishmentCost,0.04750147814972134,0.05227672798185059,3,-0.010457151327461115,-0.010457151327461115,0.05795862947718246,0.06273387930931171
learning,data_only,joint,CONFIG_punishmentTech,-0.15500248611043094,-0.16029481427721212,3,-0.11414925447526385,-0.11414925447526385,-0.04085323163516709,-0.046145559801948274
learning,data_only,joint,CONFIG_rewardTech,0.016570671244724763,0.006532727342843876,3,0.02199995797380032,0.02199995797380032,-0.005429286729075555,-0.015467230630956442
learning,data_only,joint,control_pct,-0.861924458134553,-0.866708917110598,3,-0.7923802524945113,-0.7923802524945113,-0.06954420564004171,-0.07432866461608678
learning,data_only,joint_reasoning,CONFIG_MPCR,0.06534402033282427,0.07563805373820444,3,0.0946008197785395,0.0946008197785395,-0.02925679944571523,-0.01896276604033506
learning,data_only,joint_reasoning,CONFIG_numRounds,-0.13110026131232674,-0.14820644062046462,3,0.0013793702943845567,0.0013793702943845567,-0.1324796316067113,-0.14958581091484918
learning,data_only,joint_reasoning,CONFIG_playerCount,0.16317207430640956,0.16329808411964972,3,0.19987217744735472,0.19987217744735472,-0.036700103140945156,-0.036574093327705004
learning,data_only,joint_reasoning,CONFIG_punishmentCost,0.05076187113476775,0.060664270972698185,3,0.013546723284560212,0.013546723284560212,0.03721514785020754,0.04711754768813797
learning,data_only,joint_reasoning,CONFIG_punishmentTech,-0.12049641985540602,-0.12699617768199303,3,-0.1322846252555636,-0.1322846252555636,0.01178820540015757,0.005288447573570554
learning,data_only,joint_reasoning,CONFIG_rewardTech,-0.062162972945920866,-0.02800152351281231,3,-0.004501445181598373,-0.004501445181598373,-0.05766152776432249,-0.02350007833121394
